work_id,composer_id,title,subtitle,searchterms,genre,recommended,popular
47,2,"Serenata española in D flat major, op. 181, B.39",,,Keyboard,0,0
48,2,"Sonata no. 3 in A major, op.68",,,Keyboard,0,0
49,2,"Sonata no. 5 in G flat major, op. 82, B.27",,,Keyboard,0,0
50,2,"Sous le palmier, tango flamenco in E flat major",,,Keyboard,0,0
51,2,"Suite ancienne, op. 54",,,Keyboard,0,0
52,2,"Suite antigua no. 2, op. 64, B.10",,,Keyboard,0,0
53,2,"Suite antigua no. 3, B.21",,,Keyboard,0,0
54,2,"Suite española no. 1, op. 47, B.7",,,Keyboard,1,0
55,2,"Suite española no. 2, B.32",,,Keyboard,0,0
56,2,Yvonne en visite,,,Keyboard,0,0
57,2,"Zambra granadina  in D minor, B.42",,,Keyboard,0,0
0,3,"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in A major, op. 10, no. 5 ",,,Orchestral,0,0
1,3,"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in B flat major, op. 10, no. 1 ",,,Orchestral,0,0
2,3,"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in B flat major, op. 10, no. 12 ",,,Orchestral,0,0
3,3,"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in C major, op. 10, no. 3 ",,,Orchestral,0,0
4,3,"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in C minor, op. 10, no. 11 ",,,Orchestral,0,0
5,3,"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in F major, op. 10, no. 7 ",,,Orchestral,0,0
6,3,"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in G minor, op. 10, no. 2 ",,,Orchestral,0,0
7,3,"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in G minor, op. 10, no. 8 ",,,Orchestral,0,0
8,3,"Adagio in G minor, for harp",,,Chamber,0,0
9,3,"Adagio, for violin, strings and organ in G minor, T. Mi 26 ",,,Chamber,0,1
10,3,Astarto ,,,Stage,0,0
11,3,"Concerto a 5 in D minor, op. 9, no. 2 for Oboe, Strings, and Continuo",,,Orchestral,0,0
12,3,"Concerto à 6 in C for Trumpet, Oboes and Bassoon",,,Chamber,0,0
13,3,"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in A major, op. 7, no. 7 ",,,Orchestral,0,0
14,3,"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in B flat major, op. 7, no. 10, ",,,Orchestral,0,0
15,3,"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in C major, op. 7, no. 2 ",,,Orchestral,0,0
16,3,"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in C major, op. 7, no. 5 ",,,Orchestral,0,0
17,3,"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in D major, op. 7, no. 1 ",,,Orchestral,0,0
18,3,"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in D major, op. 7, no. 8 ",,,Orchestral,0,0
19,3,"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in D major, op. 9, no. 12 ",,,Orchestral,0,0
20,3,"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in F major, op. 9, no. 3 ",,,Orchestral,0,0
21,3,"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in G major, op. 9, no. 6 ",,,Orchestral,0,0
22,3,"Concerto a cinque for 2 Oboes, Violin, Viola, Cello, and Continuo in C major, op. 9, no. 9 ",,,Orchestral,0,0
23,3,"Concerto a cinque for 2 Solo Violins, Violin, Viola, Cello, and Continuo in B flat major, op. 9, no. 1, ",,,Orchestral,0,0
24,3,"Concerto a cinque for 2 Violins, Viola, Cello, and Continuo in G major, op. 7, no. 4 ",,,Orchestral,0,0
25,3,"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in B flat major, op. 7, no. 3, ",,,Orchestral,0,0
26,3,"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in B flat major, op. 9, no. 11, ",,,Orchestral,0,0
27,3,"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in C major, op. 7, no. 12 ",,,Orchestral,0,0
28,3,"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in C major, op. 9, no. 5 ",,,Orchestral,0,0
29,3,"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in D major, op. 7, no. 6 ",,,Orchestral,0,0
30,3,"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in D minor, op. 9, no. 2, ",,,Orchestral,1,0
31,3,"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in F, op. 7, no. 9 ",,,Orchestral,0,0
32,3,"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in G minor, op. 9, no. 8 ",,,Orchestral,0,0
33,3,"Concerto a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in A major, op. 9, no. 4, ",,,Orchestral,0,0
34,3,"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 1 in B flat major, op. 5, no. 1 ",,,Orchestral,0,0
35,3,"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 10 in A major, op. 5, no. 10 ",,,Orchestral,0,0
36,3,"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 11 in G minor, op. 5, no. 11 ",,,Orchestral,0,0
37,3,"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 12 in C major, op. 5, no. 12 ",,,Orchestral,0,0
38,3,"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 2 in F major, op. 5, no. 2 ",,,Orchestral,0,0
39,3,"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 3 in D major, op. 5, no. 3 ",,,Orchestral,0,0
40,3,"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 4 in G major, op. 5, no. 4 ",,,Orchestral,0,0
41,3,"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 5 in A minor, op. 5, no. 5 ",,,Orchestral,0,0
42,3,"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 6 in C major, op. 5, no. 6 ",,,Orchestral,0,0
43,3,"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 7 in D minor, op. 5, no. 7 ",,,Orchestral,0,0
44,3,"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 8 in F major, op. 5, no. 8 ",,,Orchestral,0,0
45,3,"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 9 in E minor, op. 5, no. 9 ",,,Orchestral,0,0
46,3,"Concerto for 2 Oboes, 2 Violins, Viola, Bassoon, and 2 Continuos in G major, op. 7, no. 4a ",,,Orchestral,0,0
47,3,"Concerto for 2 Oboes, Strings, and Continuo in C major, op. 7, no. 11 ",,,Orchestral,0,0
48,3,"Concerto for 2 Violins, 2 Violas, Cello, and Continuo in B flat major, op. 2, no. 6 ",,,Orchestral,0,0
49,3,"Concerto for Strings and Continuo in D major, op. 9, no. 7 ",,,Orchestral,0,0
50,3,"Concerto for Strings and Continuo in F major, op. 9, no. 10 ",,,Orchestral,0,0
51,3,"Concerto for Trumpet and Organ  in F major, op. 2, no. 2",,,Orchestral,0,0
52,3,"Concerto in C for Oboe, Strings, and Continuo, no. 12",,,Orchestral,0,0
53,3,"Concerto in E minor for 2 Violins, 2 Violas, Cello and Continuo, op. 2, no. 4",,,Orchestral,0,0
54,3,"Concerto in G for 2 Violins, 2 Violas, Cello, and Continuo, op. 2, no. 8",,,Orchestral,0,0
55,3,"Concerto in G for 2 Violins, Viola, and Continuo, T.Si8",,,Orchestral,0,0
56,3,"Da l'arco d'un bel ciglio, solo cantata for voice and continuo in G minor, op. 4, no. 2, ""Under ye gloomy shade""",,,Chamber,0,0
57,3,Engelberta,Opera,,Stage,0,0
58,3,Flute Concerto in G,,,Orchestral,0,0
59,3,"Il Nome glorioso in terra, serenata ",Opera,,Stage,0,0
60,3,La Statira,Opera,,Stage,0,0
61,3,Magnificat in G minor,,,Vocal,0,0
62,3,Sinfonia a 4 for Strings,,,Chamber,0,0
63,3,Sinfonia for Strings in G minor,,,Orchestral,0,0
64,3,Sonata ,,,Chamber,0,0
65,3,Sonata ,,,Chamber,0,0
66,3,"Sonata à cinque for Violin, 2 Violas, and Continuo in B flat major, op. 2, no. 9",,,Chamber,0,0
67,3,"Sonata à cinque for Violin, 2 Violas, and Continuo in C major, op. 2, no. 3",,,Chamber,0,0
68,3,"Sonata à cinque for Violin, 2 Violas, and Continuo in G minor, op. 2, no. 11",,,Chamber,0,0
69,3,"Sonata à sei for Trumpet, 2 Violins, 3 Violas, and Continuo in C major, T.So.1",,,Chamber,0,0
70,3,"Sonata a5 no. 4 in C minor, op. 2, no. 7",,,Chamber,0,0
71,3,Sonata à6 in C for Solo Trumpet and Strings,,,Chamber,0,0
72,3,"Sonata da chiesa in E minor, op. 4, no. 2",,,Chamber,0,0
73,3,Sonata di Concerto à 7 in D for Solo Trumpet and Strings,,,Chamber,0,0
74,3,"Sonata di Concerto à 7, for trumpet, 2 violins, 2 violas, cello, and continuo in D major, T. Si 1",,,Orchestral,0,0
75,3,"Sonata per camera for Violin, Cello, and Continuo in A minor, op. 6, no. 6",,,Chamber,0,0
76,3,"Sonata per camera for Violin, Cello, and Continuo in D major, op. 6, no. 7,",,,Chamber,0,0
77,3,Trumpet Concerto in B flat major,,,Orchestral,0,0
78,3,Trumpet Concerto in C,,,Orchestral,0,0
79,3,"Vien con nuova orribil guerra, for soprano, 2 trumpets and ensemble",,,Chamber,0,0
80,3,"Violin Sonata in B flat major, T.So.32, ""Dresden Sonata no. 1""",,,Chamber,0,0
81,3,"Violin Sonata in G minor, T. So 33, ""Dresden Sonata no. 2""",,,Chamber,0,0
0,4,"2 Odes of John Keats, for narrator and piano ",,,Keyboard,0,0
1,4,"2 Toccatas, W.72",,,Keyboard,0,0
2,4,"4 Stories for Peter, song-stories for voice and piano",,,Vocal,0,0
3,4,"6 Little Pieces, for string quartet, W.137",,,Chamber,0,0
4,4,"7 Mechanisms, suite, W.50",,,Keyboard,0,0
5,4,A Jazz Symphony,For piano and orchestra,,Orchestral,1,0
6,4,"Archipelago, 'Rhumba', for orchestra",,,Orchestral,0,0
7,4,Ballet mécanique,"For 4 pianos, 2 electric bells, 2 airplane propellers and percussion",,Stage,1,0
8,4,Capital of the World,Ballet,,Stage,0,0
9,4,"Capital of the World, W.249",,,Orchestral,0,0
10,4,"Concert, for chamber orchestra, W.170",,,Chamber,0,0
11,4,"Death of Machines, W.42, ""Third Piano Sonata""",,,Keyboard,0,0
12,4,Dreams,Ballet,,Stage,0,0
13,4,"Jazz Sonata, W.43, ""Piano Sonata no. 4""",,,Keyboard,0,0
14,4,"La Femme 100 Têtes, 45 preludes inspired by etchings of Max Ernst, W.60",,,Keyboard,0,0
15,4,"Lithuanian Night, for string quartet, W.125",,,Chamber,0,0
16,4,"Little Shimmy, W.45",,,Keyboard,0,0
17,4,McKonkey's Ferry ; A Concert Overture,,,Orchestral,0,0
18,4,"Piano Concerto no. 1, W.205",,,Orchestral,0,0
19,4,"Piano Concerto no. 2, W.207",,,Orchestral,0,0
20,4,"Serenade, for string orchestra no. 1, W.189",,,Chamber,0,0
21,4,Solo Violin Sonata,,,Chamber,0,0
22,4,"Sonata for Violin, Piano and Drums no. 2, W.131",,,Chamber,0,0
23,4,"Sonata Sauvage, W.41",,,Keyboard,0,0
24,4,"Sonatina für Radio, W.58",,,Keyboard,0,0
25,4,"Sonatina, for violin and piano, W.140",,,Chamber,0,0
26,4,"String Quartet no. 1, W.133b",,,Chamber,0,0
27,4,"String Quartet no. 2, W.135, ""For Sylvia Beach with love""",,,Chamber,0,0
28,4,"String Quartet no. 3, W.142",,,Chamber,0,0
29,4,"Symphony no. 4, W.177, ""1942""",,,Orchestral,0,0
30,4,"Symphony no. 5, W.186, ""Joyous""",,,Orchestral,0,0
31,4,"The Airplane Sonata, W.40, ""Second Sonata""",,,Keyboard,0,0
32,4,"The Brothers, op. 1",Opera,,Stage,0,0
33,4,"Trumpet Sonata, W.143",,,Chamber,0,0
34,4,Violin Sonata no. 1,,,Chamber,0,0
35,4,Violin Sonata no. 2,,,Chamber,0,0
36,4,Violin Sonata no. 4,,,Chamber,0,0
0,5,"3 Shanties, for wind quintet, op. 4",,,Chamber,0,0
1,5,"4 Cornish Dances, op. 91",,,Orchestral,0,0
2,5,"4 Irish Dances, op. 126",,,Orchestral,0,0
3,5,"4 Scottish Dances, op. 59",,,Orchestral,0,0
4,5,"4 Welsh Dances, op. 138",,,Orchestral,0,0
5,5,"5 Pieces for Violin and Piano, op. 84",,,Chamber,0,0
6,5,"A Flourish, op. 112",,,Orchestral,0,0
7,5,"A Grand, Grand Overture, op. 57",,,Orchestral,1,0
8,5,"A Sussex Overture, op. 31",,,Orchestral,0,0
9,5,"Anniversary Overture, op. 99",,,Orchestral,0,0
10,5,"Beckus the Dandipratt, comedy overture, op. 5",,,Orchestral,0,0
11,5,Bridge on the River Kwai,,,Stage,0,0
12,5,"Clarinet Concerto no. 1, op. 20",,,Orchestral,0,0
13,5,"Clarinet Concerto no. 2, op. 115",,,Orchestral,0,0
14,5,"Clarinet Sonatina, op. 29",,,Chamber,0,0
15,5,"Commonwealth Christmas Overture, op. 64",,,Orchestral,0,0
16,5,"Concertino for Recorder and Strings, op. 41a",,,Orchestral,0,0
17,5,"Concerto for 2 Pianos  and Orchestra, op. 104",,,Orchestral,0,0
18,5,"Concerto for Piano Duet and Strings, op. 32",,,Orchestral,0,0
19,5,David Copperfield,,,Stage,0,0
20,5,"Divertimento for Flute, Oboe and Clarinet, op. 37",,,Chamber,1,0
21,5,Dream City,,,Keyboard,0,0
22,5,"Duo for 2 Clarinets, op. 135",,,Chamber,0,0
23,5,"Electra, op. 79",Ballet,,Stage,0,0
24,5,"English Dances, Set 1, op. 27",,,Orchestral,1,0
25,5,"English Dances, Set 2, op. 33",,,Orchestral,1,0
26,5,"Fanfare for Louis, for 2 trumpets",,,Chamber,0,0
27,5,"Fantasy for Bassoon, op. 86",,,Chamber,0,0
28,5,"Fantasy for brass band, op. 114",,,Orchestral,0,0
29,5,"Fantasy for Cello, op. 130",,,Chamber,0,0
30,5,"Fantasy for Clarinet, op. 87",,,Chamber,0,0
31,5,Fantasy for Flute and Clarinet,,,Chamber,0,0
32,5,"Fantasy for Flute, op. 89",,,Chamber,0,0
33,5,"Fantasy for Guitar, op. 107",,,Chamber,0,0
34,5,"Fantasy for Harp, op. 117",,,Chamber,0,0
35,5,"Fantasy for Recorder and String quartet, op. 140",,,Chamber,0,0
36,5,"Fantasy for Trumpet, op. 100",,,Chamber,0,0
37,5,"Fantasy on a theme of John Field, for piano and orchestra, op. 116",,,Orchestral,0,0
38,5,"Flute Concertino, op. 19a",,,Orchestral,0,0
39,5,"Flute Sonata, op. 121",,,Chamber,0,0
40,5,"Grand Fantasia, for flute, trumpet  and piano",,,Chamber,0,0
41,5,"Guitar Concerto, op. 67",,,Orchestral,0,0
42,5,"H.R.H. The Duke of Cambridge, for military band, op. 60",,,Orchestral,0,0
43,5,"Harmonica Concerto, op. 46",,,Orchestral,0,0
44,5,Hobson's Choice,,,Stage,0,0
45,5,"Homage to the Queen, op. 42",Ballet,,Stage,0,0
46,5,"Little Suite no. 1, for brass band, op. 80",,,Orchestral,0,0
47,5,"Little Suite no. 2, for brass band, op. 93",,,Orchestral,0,0
48,5,"Little Suite no. 2, op. 78",,,Orchestral,0,0
49,5,"Little Suite no. 3, op. 142, ""A Manx Suite""",,,Orchestral,0,0
50,5,"Machines, symphonic study, op. 30",,,Orchestral,0,0
51,5,No Love for Johnnie,,,Stage,0,0
52,5,"Oboe Concerto, op. 39",,,Orchestral,0,0
53,5,"Organ Concerto, op. 47",,,Orchestral,0,0
54,5,"Overseas March, for military band, op. 70",,,Orchestral,0,0
55,5,Overture for Wind Octet,,,Chamber,0,0
56,5,"Peterloo Overture, op. 97",,,Orchestral,0,0
57,5,"Phantasy, for string quartet, ""Vita Abundans""",,,Chamber,0,0
58,5,Piano Sonata,,,Keyboard,0,0
59,5,Popular Birthday,,,Orchestral,0,0
60,5,"Quintet no. 1 for 2 Trumpets, Horn, Trombone and Tuba, op. 73",,,Chamber,0,0
61,5,"Recorder Concerto, op. 133",,,Orchestral,0,0
62,5,"Return of Odysseus, cantata for chorus and orchestra, op. 119",,,Vocal,0,0
63,5,"Rinaldo and Armida, op. 49",Ballet,,Stage,0,0
64,5,"Robert Kett Overture, op. 141",,,Orchestral,0,0
65,5,Saxophone Concerto,,,Orchestral,0,0
66,5,"Serenade for Guitar and Strings, op. 50",,,Orchestral,0,0
67,5,"Severn Bridge Variations: Var.1, for orchestra ",,,Orchestral,0,0
68,5,"Shakespearean Cello Concerto, op. 136",,,Orchestral,0,0
69,5,"Sonata for Violin and Piano no. 1, op. 15",,,Chamber,0,0
70,5,"Sonata for Violin and Piano no. 2, op. 43",,,Chamber,0,0
71,5,"Sonata for Violin and Piano, op. 17",,,Chamber,0,0
72,5,"Sonatina for flute and piano, op. 19",,,Chamber,0,0
73,5,"Sonatina, for recorder and piano, op. 41",,,Chamber,0,0
74,5,"Sonatine, for oboe and piano",,,Chamber,0,0
75,5,Stolen Face,,,Stage,0,0
76,5,"String Quartet no. 1, op. 23",,,Chamber,0,0
77,5,"String Quartet no. 2, op. 118",,,Chamber,0,0
78,5,"Suite Bourgeoise, for flute, oboe and piano",,,Chamber,0,0
79,5,"Sweeny Todd, op. 68",Ballet,,Stage,0,0
80,5,"Symphony for Brass Instruments, op. 123",,,Orchestral,0,0
81,5,"Symphony for Strings, op. 13",,,Orchestral,0,0
82,5,"Symphony no. 1, op. 22",,,Orchestral,0,0
83,5,"Symphony no. 2, op. 40",,,Orchestral,0,0
84,5,"Symphony no. 3, op. 63",,,Orchestral,0,0
85,5,"Symphony no. 4, op. 71",,,Orchestral,0,0
86,5,"Symphony no. 5, op. 74",,,Orchestral,0,0
87,5,"Symphony no. 6, op. 95",,,Orchestral,0,0
88,5,"Symphony no. 7, op. 113",,,Orchestral,0,0
89,5,"Symphony no. 8, op. 124",,,Orchestral,0,0
90,5,"Symphony no. 9, op. 128",,,Orchestral,0,0
91,5,"Tam O'Shanter Overture, op. 51",,,Orchestral,0,0
92,5,The Belles of St. Trinians,,,Stage,0,0
93,5,The Captain's Paradise,,,Stage,0,0
94,5,"The Fair Field, op. 110",,,Orchestral,0,0
95,5,The Holly and the Ivy: Fantasy on Christmas Carols,,,Orchestral,0,0
96,5,The Inn of the Sixth Happiness,,,Stage,0,0
97,5,"The Padstow Lifeboat, op. 94",,,Orchestral,0,0
98,5,The Roots of Heaven,,,Stage,0,0
99,5,"The Smoke, op. 21",,,Orchestral,0,0
100,5,"The Sound Barrier, rhapsody, op. 38",,,Orchestral,0,0
101,5,Trapeze,,,Stage,0,0
102,5,"Trio for Flute, Viola and Bassoon, op. 6",,,Chamber,0,0
103,5,"Trio for Violin, Cello and Piano, op. 54",,,Chamber,0,0
104,5,"Variations on a Theme of Ruth Gipps, op. 122",,,Orchestral,0,0
105,5,"Variations on a Ukrainian Folksong, op. 9",,,Keyboard,0,0
106,5,"Water Music, for winds and percussion, op. 82",,,Orchestral,0,0
107,5,Whistle Down the Wind,,,Stage,0,0
108,5,"Woodwind Quintet, op. 2",,,Chamber,0,0
109,5,You Know What Sailors Are,,,Stage,0,0
0,6,"Accompanied Recitative, serialized composition for soprano saxophone and piano",,,Chamber,0,0
1,6,"Around the horn, for solo horn",,,Chamber,0,0
2,6,"Beaten Paths, for marimba",,,Chamber,0,0
3,6,Canonical Form,,,Keyboard,0,0
4,6,Clarinet Quintet,,,Chamber,0,0
5,6,Composition for Synthesizer,,,Chamber,0,0
6,6,Composition for Viola and Piano,,,Chamber,0,0
7,6,Correspondences for String Orchestra and Synthesized Tape,,,Orchestral,0,0
8,6,Duet,,,Keyboard,0,0
9,6,Ensembles for Synthesizer,,,Chamber,0,0
10,6,"Homily, for snare drum",,,Chamber,0,0
11,6,Lagniappe,,,Keyboard,0,0
12,6,"Melismata, for violin",,,Chamber,0,0
13,6,"None but the Lonely Flute, for flute",,,Chamber,0,0
14,6,Partitions,,,Keyboard,0,0
15,6,Philomel,"For soprano, taped soprano and synthesizer",,Vocal,1,0
16,6,"Play It Again Sam, for viola",,,Chamber,0,0
17,6,Post-Partitions,,,Keyboard,0,0
18,6,"Reflections, for piano and synthesized tape",,,Keyboard,0,0
19,6,Round ,,,Vocal,0,0
20,6,Semi-Simple Variations,,,Keyboard,0,0
21,6,"Sheer Pluck, for solo guitar",,,Chamber,0,0
22,6,"Soli e Duettini, for flute and guitar",,,Chamber,0,0
23,6,Tableaux,,,Keyboard,0,0
24,6,"Whirled Series, for saxaphone and piano",,,Chamber,0,0
0,7,"3 Minuets, BWV.841-843",,,Keyboard,0,0
1,7,"3 Wedding Chorales, for chorus and orchestra, BWV.250-52",,,Vocal,0,0
2,7,"3-Part Inventions, BWV.787-801",,,Keyboard,0,0
3,7,"4 'Duettos', BWV.802-805 ",,,Keyboard,0,0
4,7,"5 Preludes, BWV.939-943",,,Keyboard,0,0
5,7,"6 Preludes, BWV.933-38, ""Six Little Preludes""",,,Keyboard,0,0
6,7,"Ach bleib' bei uns, Herr Jesu Christ, BWV.649",,,Keyboard,0,0
7,7,"Ach Gott und Herr, BWV.255",,,Vocal,0,0
8,7,"Ach Gott und Herr, BWV.714",,,Keyboard,0,0
9,7,"Ach Gott vom Himmel sieh darein, BWV.741",,,Keyboard,0,0
10,7,"Ach Gott, erhor mein Seufzen, BWV.254",,,Vocal,0,0
11,7,"Ach Gott, tu dich erbarmen, BWV.1109",,,Keyboard,0,0
12,7,"Ach Herr, mich armen Sünder, BWV.742",,,Keyboard,0,0
